date,coin,long_notional_usd,short_notional_usd,long_share_pct,longs,shorts,accounts,top_long_notional_usd,top_short_notional_usd,source
2026-09-03,SOL,96757627,172491887,35.94,9,21,300,55060367,76647809,bykaranteli-hl-scan
2026-09-03,SOPH,0,173,0.24,1,2,300,0,145,bykaranteli-hl-scan
2026-09-03,SPX,16,714648,0,1,5,300,16,599918,bykaranteli-hl-scan
2026-09-03,STABLE,0,59436,0,0,2,300,0,50217,bykaranteli-hl-scan
2026-09-03,STBL,69791,260369,21.14,2,2,300,47963,260214,bykaranteli-hl-scan
2026-09-03,STRK,101941,1096638,8.51,2,5,300,101940,538655,bykaranteli-hl-scan
2026-09-03,STX,0,92466,0,0,4,300,0,64585,bykaranteli-hl-scan
2026-09-03,SUI,3323152,3536586,48.44,5,8,300,2510183,1371867,bykaranteli-hl-scan
2026-09-03,SUPER,0,97,0,0,1,300,0,97,bykaranteli-hl-scan
2026-09-03,SUSHI,42,0,100,1,0,300,42,0,bykaranteli-hl-scan
2026-09-03,SYRUP,11055,7876,58.4,1,2,300,11055,6050,bykaranteli-hl-scan
2026-09-03,TAO,38585,4444061,0.86,5,6,300,32216,1854924,bykaranteli-hl-scan
