date,asset,ticker,issuer,net_inflow_usd,net_assets_usd,cum_inflow_usd,fee_pct,source
2026-08-06,ETH,MSSE,Morgan Stanley,0,22142157,21067551,0.14,bykaranteli.com
2026-08-06,ETH,QETH,Invesco,0,16194737,22100555,0.25,bykaranteli.com
2026-08-06,ETH,TETH,21Shares,0,15406707,16823118,0.21,bykaranteli.com
2026-08-05,BTC,ARKB,Ark & 21Shares,37630390,2222773380,1345718963,0.21,bykaranteli.com
2026-08-05,BTC,BITB,Bitwise,10558050,2402660245,2031127690,0.2,bykaranteli.com
2026-08-05,BTC,BRRR,Valkyrie,0,381935526,308388325,0.25,bykaranteli.com
2026-08-05,BTC,BTC,Grayscale,0,3818297590,2656520606,0.15,bykaranteli.com
2026-08-05,BTC,BTCO,Invesco,0,358693127,171779913,0.25,bykaranteli.com
2026-08-05,BTC,BTCW,WisdomTree,0,144568614,91849949,0.25,bykaranteli.com
2026-08-05,BTC,DEFI,Hashdex,0,14697780,4272360,0.9,bykaranteli.com
2026-08-05,ETH,ETH,Grayscale,0,1608047421,1799551644,0.15,bykaranteli.com
2026-08-05,ETH,ETHA,BlackRock,50344189,5654173236,11530203053,0.25,bykaranteli.com
2026-08-05,ETH,ETHB,BlackRock,4938162,587641254,554947157,0.25,bykaranteli.com
2026-08-05,ETH,ETHE,Grayscale,0,1451328237,-5356352685,2.5,bykaranteli.com
2026-08-05,ETH,ETHV,VanEck,0,93169127,162651459,0.2,bykaranteli.com
2026-08-05,ETH,ETHW,Bitwise,1371353,204057297,384584637,0.2,bykaranteli.com
2026-08-05,BTC,EZBC,Franklin,0,374657630,333591935,0.19,bykaranteli.com
2026-08-05,ETH,EZET,Franklin,0,39228087,65914410,0.19,bykaranteli.com
2026-08-05,BTC,FBTC,Fidelity,11284947,11146902955,9983610159,0,bykaranteli.com
2026-08-05,ETH,FETH,Fidelity,2865008,914415037,2111924667,0.25,bykaranteli.com
2026-08-05,BTC,GBTC,Grayscale,0,8589988598,-27468056306,1.5,bykaranteli.com
2026-08-05,BTC,HODL,VanEck,-14671176,1069620425,1136241749,0.25,bykaranteli.com
2026-08-05,BTC,IBIT,BlackRock,196829920,48270334560,60959788304,0.25,bykaranteli.com
2026-08-05,BTC,MSBT,Morgan Stanley,2787132,410451661,414124566,0.14,bykaranteli.com
