date,currency,instrument,expiry,strike,type,open_interest,mark_iv,underlying_usd
2026-08-18,BTC,BTC-25DEC26-94000-P,25DEC26,94000,put,5.3,38.92,65471.54
2026-08-18,BTC,BTC-25DEC26-95000-C,25DEC26,95000,call,1371.7,39.13,65471.54
2026-08-18,BTC,BTC-25DEC26-95000-P,25DEC26,95000,put,85.9,39.13,65471.54
2026-08-18,BTC,BTC-25DEC26-96000-C,25DEC26,96000,call,1325,39.31,65471.54
2026-08-18,BTC,BTC-25DEC26-96000-P,25DEC26,96000,put,11.3,39.31,65471.4
2026-08-18,BTC,BTC-25DEC26-98000-C,25DEC26,98000,call,216.6,40.04,65471.4
2026-08-18,BTC,BTC-25DEC26-98000-P,25DEC26,98000,put,1.2,40.04,65471.54
2026-08-18,BTC,BTC-25DEC26-100000-C,25DEC26,100000,call,3639.2,40.23,65471.4
2026-08-18,BTC,BTC-25DEC26-100000-P,25DEC26,100000,put,303.3,40.23,65471.54
2026-08-18,BTC,BTC-25DEC26-102000-C,25DEC26,102000,call,218.6,40.64,65471.54
2026-08-18,BTC,BTC-25DEC26-102000-P,25DEC26,102000,put,7.8,40.64,65471.54
2026-08-18,BTC,BTC-25DEC26-104000-C,25DEC26,104000,call,87.8,41.06,65471.54
2026-08-18,BTC,BTC-25DEC26-104000-P,25DEC26,104000,put,0.1,41.06,65471.54
2026-08-18,BTC,BTC-25DEC26-105000-C,25DEC26,105000,call,831.5,41.29,65471.54
2026-08-18,BTC,BTC-25DEC26-105000-P,25DEC26,105000,put,109.4,41.29,65471.54
2026-08-18,BTC,BTC-25DEC26-106000-P,25DEC26,106000,put,0.2,41.49,65471.4
2026-08-18,BTC,BTC-25DEC26-106000-C,25DEC26,106000,call,320.2,41.49,65471.4
2026-08-18,BTC,BTC-25DEC26-108000-C,25DEC26,108000,call,123.8,41.89,65471.54
2026-08-18,BTC,BTC-25DEC26-108000-P,25DEC26,108000,put,0.1,41.89,65471.4
2026-08-18,BTC,BTC-25DEC26-110000-P,25DEC26,110000,put,54.2,42.33,65471.4
2026-08-18,BTC,BTC-25DEC26-110000-C,25DEC26,110000,call,2631.5,42.33,65471.54
2026-08-18,BTC,BTC-25DEC26-115000-C,25DEC26,115000,call,2340,43.54,65471.54
2026-08-18,BTC,BTC-25DEC26-115000-P,25DEC26,115000,put,0.7,43.54,65471.54
2026-08-18,BTC,BTC-25DEC26-120000-C,25DEC26,120000,call,6032.2,44.63,65471.54
