date,symbol,us_close_usd,global_close_usd,premium_pct,source
2020-07-09,ETH,242,241.98,0.0083,bykaranteli.com
2020-07-10,BTC,9291.05,9288.34,0.0292,bykaranteli.com
2020-07-10,ETH,241.2,241.26,-0.0249,bykaranteli.com
2020-07-11,BTC,9235,9234.03,0.0105,bykaranteli.com
2020-07-11,ETH,239.17,239.19,-0.0084,bykaranteli.com
2020-07-12,BTC,9303.37,9302.75,0.0067,bykaranteli.com
2020-07-12,ETH,242.81,242.79,0.0082,bykaranteli.com
2020-07-13,BTC,9236.92,9242.62,-0.0617,bykaranteli.com
2020-07-13,ETH,239.44,239.5,-0.0251,bykaranteli.com
2020-07-14,BTC,9256.94,9255.85,0.0118,bykaranteli.com
2020-07-14,ETH,240.43,240.44,-0.0042,bykaranteli.com
2020-07-15,BTC,9190.16,9197.6,-0.0809,bykaranteli.com
2020-07-15,ETH,238.33,238.61,-0.1173,bykaranteli.com
2020-07-16,BTC,9130.11,9133.72,-0.0395,bykaranteli.com
2020-07-16,ETH,233.41,233.57,-0.0685,bykaranteli.com
2020-07-17,BTC,9154.29,9154.32,-0.0003,bykaranteli.com
2020-07-17,ETH,232.63,232.67,-0.0172,bykaranteli.com
2020-07-18,BTC,9175.85,9170.28,0.0607,bykaranteli.com
2020-07-18,ETH,235.72,235.67,0.0212,bykaranteli.com
2020-07-19,BTC,9212.87,9208.99,0.0421,bykaranteli.com
2020-07-19,ETH,239.17,239.11,0.0251,bykaranteli.com
2020-07-20,BTC,9161.05,9160.78,0.0029,bykaranteli.com
2020-07-20,ETH,236.1,236.01,0.0381,bykaranteli.com
2020-07-21,BTC,9394.14,9390,0.0441,bykaranteli.com
2020-07-21,ETH,245.65,245.59,0.0244,bykaranteli.com
2020-07-22,BTC,9536.18,9518.16,0.1893,bykaranteli.com
2020-07-22,ETH,264.28,263.74,0.2047,bykaranteli.com
2020-07-23,BTC,9613.24,9603.27,0.1038,bykaranteli.com
2020-07-23,ETH,275.68,275.3,0.138,bykaranteli.com
2020-07-24,BTC,9551.21,9537.8,0.1406,bykaranteli.com
2020-07-24,ETH,279.59,279.15,0.1576,bykaranteli.com
2020-07-25,BTC,9711.33,9700.42,0.1125,bykaranteli.com
2020-07-25,ETH,305.66,305.26,0.131,bykaranteli.com
2020-07-26,BTC,9941,9931.54,0.0953,bykaranteli.com
2020-07-26,ETH,311.35,311,0.1125,bykaranteli.com
2020-07-27,BTC,11048.91,11029.96,0.1718,bykaranteli.com
