report_date,market_code,market_name,open_interest,hedge_fund_long,hedge_fund_short,institutional_long,institutional_short,other_reportable_long,other_reportable_short,small_trader_long,small_trader_short,source
2024-11-12,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,55131,37036,46008,3180,151,7507,891,6768,1821,bykaranteli.com
2024-11-12,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,10781,1656,5274,2556,91,521,3153,926,381,bykaranteli.com
2024-11-12,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,94961,48150,76918,1004,3070,28522,1857,2323,283,bykaranteli.com
2024-11-05,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,32011,3484,22738,9865,598,2214,808,1443,913,bykaranteli.com
2024-11-05,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,27845,14437,20618,2982,42,4015,1020,5505,1359,bykaranteli.com
2024-11-05,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,7214,1482,3429,1545,490,454,1169,652,507,bykaranteli.com
2024-11-05,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,48042,32143,35701,300,3110,8106,4255,1233,239,bykaranteli.com
2024-10-29,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,33787,3745,24660,10072,546,3487,822,1441,814,bykaranteli.com
2024-10-29,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,33302,20140,24924,2915,125,3806,1215,5775,1549,bykaranteli.com
2024-10-29,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,7031,1324,3921,1557,283,623,1137,719,389,bykaranteli.com
2024-10-29,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,30683,14583,16471,1405,2516,10560,5872,1183,289,bykaranteli.com
2024-10-22,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,33562,3054,23303,9535,528,3933,792,1518,987,bykaranteli.com
2024-10-22,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,23110,3834,14755,2943,89,3363,2070,5468,1413,bykaranteli.com
2024-10-22,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,7262,893,3375,1534,407,651,893,775,427,bykaranteli.com
2024-10-22,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,40834,17335,9581,1260,2625,8456,13660,1166,332,bykaranteli.com
2024-10-15,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,34494,2795,23179,10112,540,3786,746,1405,999,bykaranteli.com
2024-10-15,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,20255,6015,9699,2664,78,2978,1287,4592,1359,bykaranteli.com
