exchange,symbol,status,listing_known,first_seen_at,delisted_at,source
binance,AMATUSDT,listed,0,2026-09-02T21:52:04.960Z,,bykaranteli.com
binance,CRWDUSDT,listed,0,2026-09-02T21:52:04.960Z,,bykaranteli.com
binance,CRDOUSDT,listed,0,2026-09-02T21:52:04.960Z,,bykaranteli.com
binance,AAOIUSDT,listed,0,2026-09-02T21:52:04.960Z,,bykaranteli.com
binance,VRTUSDT,listed,0,2026-09-02T21:52:04.960Z,,bykaranteli.com
binance,VSTUSDT,listed,0,2026-09-02T21:52:04.960Z,,bykaranteli.com
binance,VUSDT,listed,0,2026-09-02T21:52:04.960Z,,bykaranteli.com
binance,WDCUSDT,listed,0,2026-09-02T21:52:04.960Z,,bykaranteli.com
binance,ZMUSDT,listed,0,2026-09-02T21:52:04.960Z,,bykaranteli.com
binance,ZSUSDT,listed,0,2026-09-02T21:52:04.960Z,,bykaranteli.com
gate,CPUSDT,listed,1,2026-09-02T15:52:03.668Z,,bykaranteli.com
bingx,CPUSDT,listed,1,2026-09-02T15:52:03.668Z,,bykaranteli.com
okx,CPUSDT,listed,1,2026-09-02T15:52:03.668Z,,bykaranteli.com
gate,SPACEHOODUSDT,listed,1,2026-09-02T14:52:03.644Z,,bykaranteli.com
gate,MICRODUCKUSDT,listed,1,2026-09-02T14:52:03.644Z,,bykaranteli.com
gate,MOOUSDT,listed,1,2026-09-02T14:52:03.644Z,,bykaranteli.com
gate,AINVDAUSDT,listed,1,2026-09-02T14:52:03.644Z,,bykaranteli.com
gate,BONERUSDT,listed,1,2026-09-02T14:52:03.644Z,,bykaranteli.com
gate,FLORKUSDT,listed,1,2026-09-02T14:52:03.644Z,,bykaranteli.com
okx,SPCHUSDT,listed,1,2026-09-02T08:52:04.365Z,,bykaranteli.com
bybit,GPROUSDT,listed,1,2026-09-02T08:52:04.365Z,,bykaranteli.com
bybit,LAOPUUSDT,listed,1,2026-09-02T08:52:04.365Z,,bykaranteli.com
bybit,YOFCUSDT,listed,1,2026-09-02T08:52:04.365Z,,bykaranteli.com
htx,PEPUSDT,listed,1,2026-09-02T07:52:04.533Z,,bykaranteli.com
htx,AMGNUSDT,listed,1,2026-09-02T07:52:04.533Z,,bykaranteli.com
htx,MOUSDT,listed,1,2026-09-02T07:52:04.533Z,,bykaranteli.com
htx,OKTAUSDT,listed,1,2026-09-02T07:52:04.533Z,,bykaranteli.com
okx,SHEINUSDT,listed,1,2026-09-02T07:52:04.533Z,,bykaranteli.com
htx,CGNXUSDT,listed,1,2026-09-02T07:52:04.533Z,,bykaranteli.com
htx,USELESSUSDT,listed,1,2026-09-02T07:52:04.533Z,,bykaranteli.com
gate,FONEUSDT,listed,1,2026-09-02T04:52:03.892Z,,bykaranteli.com
gate,BASECATUSDT,listed,1,2026-09-01T13:52:04.208Z,,bykaranteli.com
gate,ANSEMUSDT,listed,1,2026-09-01T13:52:04.208Z,,bykaranteli.com
htx,MARSCOINUSDT,listed,1,2026-09-01T11:52:03.808Z,,bykaranteli.com
bybit,MARSCOINUSDT,listed,1,2026-09-01T11:52:03.808Z,,bykaranteli.com
binance,MARSCOINUSDT,listed,1,2026-09-01T09:52:03.873Z,,bykaranteli.com
bingx,RABBITUSDT,listed,1,2026-09-01T08:52:03.472Z,,bykaranteli.com
bingx,RAMSESUSDT,listed,1,2026-09-01T08:52:03.472Z,,bykaranteli.com
bingx,MOOUSDT,listed,1,2026-09-01T07:52:04.255Z,,bykaranteli.com
bingx,SPACEHOODUSDT,listed,1,2026-09-01T07:52:04.255Z,,bykaranteli.com
bingx,UPHOODUSDT,listed,1,2026-09-01T07:52:04.255Z,,bykaranteli.com
htx,JDUSDT,listed,1,2026-09-01T06:52:05.711Z,,bykaranteli.com
bingx,BONERUSDT,listed,1,2026-09-01T03:52:05.106Z,,bykaranteli.com
bybit,SHEINUSDT,listed,1,2026-09-01T03:52:05.106Z,,bykaranteli.com
gate,RDDTUSDT,listed,1,2026-08-31T10:52:05.658Z,,bykaranteli.com
gate,SLVUSDT,listed,1,2026-08-31T10:52:05.658Z,,bykaranteli.com
gate,AMZNUSDT,listed,1,2026-08-31T10:52:05.658Z,,bykaranteli.com
gate,BTGOUSDT,listed,1,2026-08-31T10:52:05.658Z,,bykaranteli.com
gate,JDUSDT,listed,1,2026-08-31T10:52:05.658Z,,bykaranteli.com
gate,ORCLUSDT,listed,1,2026-08-31T10:52:05.658Z,,bykaranteli.com
bybit,TEMUSDT,listed,1,2026-08-31T09:52:03.973Z,,bykaranteli.com
bybit,PONSUSDT,listed,1,2026-08-31T09:52:03.973Z,,bykaranteli.com
bingx,DELTAUSDT,listed,1,2026-08-31T09:52:03.973Z,,bykaranteli.com
bingx,HOOKRUSDT,listed,1,2026-08-31T09:52:03.973Z,,bykaranteli.com
bingx,JUGGERNAUTUSDT,listed,1,2026-08-31T09:52:03.973Z,,bykaranteli.com
bybit,EWZUSDT,listed,1,2026-08-31T09:52:03.973Z,,bykaranteli.com
bybit,OKTAUSDT,listed,1,2026-08-31T09:52:03.973Z,,bykaranteli.com
bingx,PROLOGUEUSDT,listed,1,2026-08-31T06:52:04.168Z,,bykaranteli.com
htx,PONSUSDT,listed,1,2026-08-31T06:52:04.168Z,,bykaranteli.com
htx,SKRUSDT,listed,1,2026-08-31T06:52:04.168Z,,bykaranteli.com
htx,ZKCUSDT,listed,1,2026-08-31T06:52:04.168Z,,bykaranteli.com
bingx,COPPERINUUSDT,listed,1,2026-08-31T06:52:04.168Z,,bykaranteli.com
bingx,MICRODUCKUSDT,listed,1,2026-08-31T06:52:04.168Z,,bykaranteli.com
gate,MARSCOINUSDT,listed,1,2026-08-30T11:52:04.353Z,,bykaranteli.com
gate,PONSUSDT,listed,1,2026-08-30T03:52:05.878Z,,bykaranteli.com
gate,TEMUSDT,listed,1,2026-08-28T12:52:05.031Z,,bykaranteli.com
gate,DJTUSDT,listed,1,2026-08-28T12:52:05.031Z,,bykaranteli.com
gate,MARAUSDT,listed,1,2026-08-28T12:52:05.031Z,,bykaranteli.com
gate,RAMUSDT,listed,1,2026-08-28T12:52:05.031Z,,bykaranteli.com
htx,MARAUSDT,listed,1,2026-08-28T10:52:04.835Z,,bykaranteli.com
